frame,track_id,direction,position,count_in,count_out
13,6,IN,"[499.95660400390625, 588.6536865234375]",1,0
35,7,IN,"[497.816162109375, 614.7716674804688]",2,0
53,26,IN,"[494.29510498046875, 582.2838134765625]",3,0
61,38,IN,"[497.598388671875, 590.3614501953125]",4,0
77,29,IN,"[496.42962646484375, 594.87451171875]",5,0
82,42,IN,"[497.2568054199219, 602.5203247070312]",6,0
91,40,IN,"[492.5091552734375, 615.9176025390625]",7,0
95,14,IN,"[491.90435791015625, 608.2219848632812]",8,0
126,80,IN,"[497.6482849121094, 557.52392578125]",9,0
142,65,IN,"[496.391845703125, 565.0975341796875]",10,0
429,294,IN,"[459.0268859863281, 873.95361328125]",11,0
433,325,IN,"[462.29998779296875, 977.5179443359375]",12,0
434,309,IN,"[481.472900390625, 904.35546875]",13,0
435,169,IN,"[486.8044738769531, 1019.7200317382812]",14,0
446,302,IN,"[476.5686950683594, 630.953369140625]",15,0
453,310,IN,"[478.85028076171875, 645.1453247070312]",16,0
454,295,IN,"[493.7850646972656, 641.9728393554688]",17,0
455,346,IN,"[389.0634460449219, 650.884765625]",18,0
456,336,IN,"[499.9718322753906, 630.133544921875]",19,0
462,335,IN,"[483.18292236328125, 899.9357299804688]",20,0
466,353,IN,"[496.06365966796875, 779.6021728515625]",21,0
469,319,IN,"[471.9554138183594, 820.6649169921875]",22,0
487,356,IN,"[492.293212890625, 983.13134765625]",23,0
511,367,IN,"[481.59613037109375, 870.8826904296875]",24,0
512,369,IN,"[487.5269775390625, 910.3309326171875]",25,0
545,374,IN,"[484.8216247558594, 868.9583129882812]",26,0
548,375,IN,"[469.4232177734375, 909.08349609375]",27,0
567,382,IN,"[486.98443603515625, 927.3939208984375]",28,0
568,377,IN,"[495.7425537109375, 655.3040771484375]",29,0
591,396,IN,"[369.75732421875, 580.92724609375]",30,0
677,396,OUT,"[560.70947265625, 634.4642333984375]",30,1
688,415,OUT,"[502.34515380859375, 548.500732421875]",30,2
