frame,track_id,direction,position,count_in,count_out
13,5,IN,"[497.1020812988281, 590.3135375976562]",1,0
35,17,IN,"[499.1307373046875, 616.1104736328125]",2,0
68,28,IN,"[470.40655517578125, 595.979248046875]",3,0
93,21,IN,"[499.813720703125, 615.0213012695312]",4,0
142,71,IN,"[496.06640625, 563.5042724609375]",5,0
428,152,IN,"[495.593994140625, 870.587646484375]",6,0
433,194,IN,"[452.3959045410156, 977.4654541015625]",7,0
435,145,IN,"[487.10699462890625, 1018.8558349609375]",8,0
446,179,IN,"[476.7632141113281, 632.0618286132812]",9,0
450,184,IN,"[440.19134521484375, 616.671142578125]",10,0
453,165,IN,"[480.10833740234375, 642.822265625]",11,0
455,171,IN,"[464.8063659667969, 640.9437255859375]",12,0
456,203,IN,"[498.18170166015625, 632.4732055664062]",13,0
462,207,IN,"[486.56475830078125, 897.86279296875]",14,0
466,231,IN,"[493.1947021484375, 783.145263671875]",15,0
469,169,IN,"[468.59814453125, 818.9195556640625]",16,0
487,232,IN,"[491.3094482421875, 982.8909912109375]",17,0
511,244,IN,"[489.92388916015625, 882.350830078125]",18,0
512,241,IN,"[493.53485107421875, 902.4374389648438]",19,0
545,242,IN,"[487.6367492675781, 869.1030883789062]",20,0
548,247,IN,"[469.3028564453125, 906.6126708984375]",21,0
567,254,IN,"[487.9913330078125, 928.520751953125]",22,0
568,250,IN,"[495.27117919921875, 654.1527099609375]",23,0
678,271,OUT,"[566.544677734375, 637.6270141601562]",23,1
688,275,OUT,"[501.47430419921875, 546.5884399414062]",23,2
