1,1,0.41,669.99,50.36,214.44,0.72,-1,-1,-1
1,2,1611.04,558.21,51.23,115.87,0.68,-1,-1,-1
1,3,1366.26,513.38,37.35,100.26,0.57,-1,-1,-1
1,4,124.40,706.09,47.54,97.14,0.54,-1,-1,-1
1,5,501.43,551.05,36.43,88.85,0.50,-1,-1,-1
1,6,1525.92,562.57,47.76,111.07,0.38,-1,-1,-1
1,7,1862.18,562.27,48.30,106.84,0.32,-1,-1,-1
1,8,1447.29,497.28,29.87,89.40,0.31,-1,-1,-1
2,1,0.00,654.70,41.97,218.32,0.72,-1,-1,-1
2,2,1615.94,552.25,56.13,122.65,0.66,-1,-1,-1
2,3,1371.95,510.64,33.34,99.37,0.55,-1,-1,-1
2,4,112.24,697.30,45.32,99.65,0.63,-1,-1,-1
2,5,500.12,537.41,37.05,93.69,0.58,-1,-1,-1
2,8,1451.94,495.60,29.87,87.34,0.40,-1,-1,-1
3,1,0.00,683.57,37.16,220.79,0.65,-1,-1,-1
3,2,1620.62,547.74,63.27,120.11,0.64,-1,-1,-1
3,3,1375.66,507.80,34.49,103.10,0.57,-1,-1,-1
3,4,106.51,724.46,44.22,97.57,0.53,-1,-1,-1
3,8,1454.05,491.06,32.09,85.87,0.46,-1,-1,-1
3,9,176.15,585.21,45.99,150.76,0.44,-1,-1,-1
3,6,1541.01,553.67,45.05,115.55,0.58,-1,-1,-1
4,1,0.00,692.56,24.57,187.43,0.48,-1,-1,-1
4,2,1630.68,550.39,58.38,123.30,0.69,-1,-1,-1
4,3,1381.06,507.47,34.11,105.63,0.62,-1,-1,-1
4,4,94.56,721.78,42.13,98.64,0.48,-1,-1,-1
4,8,1457.23,487.95,33.10,87.42,0.55,-1,-1,-1
4,6,1547.49,554.57,44.27,119.52,0.61,-1,-1,-1
4,5,498.40,547.93,38.30,94.46,0.37,-1,-1,-1
5,2,1634.82,561.07,60.50,126.38,0.73,-1,-1,-1
5,3,1383.34,514.10,33.64,107.89,0.70,-1,-1,-1
5,4,79.73,714.37,41.71,101.43,0.51,-1,-1,-1
5,8,1459.36,497.52,30.50,89.17,0.49,-1,-1,-1
5,6,1550.62,564.33,49.59,121.62,0.42,-1,-1,-1
5,5,497.37,539.73,38.48,97.03,0.51,-1,-1,-1
6,2,1644.15,572.83,63.18,125.71,0.68,-1,-1,-1
6,3,1389.21,527.32,33.72,109.81,0.70,-1,-1,-1
6,8,1462.17,508.45,29.45,87.57,0.50,-1,-1,-1
6,6,1560.37,577.13,49.05,120.16,0.35,-1,-1,-1
6,5,497.03,551.96,39.02,98.81,0.40,-1,-1,-1
6,12,1506.56,519.40,25.68,82.28,0.43,-1,-1,-1
6,9,147.20,581.85,52.57,161.00,0.53,-1,-1,-1
7,2,1650.02,568.70,64.87,129.64,0.66,-1,-1,-1
7,3,1390.79,518.34,35.07,111.88,0.66,-1,-1,-1
7,8,1464.00,500.49,30.48,90.66,0.52,-1,-1,-1
7,6,1565.06,568.31,49.68,123.69,0.62,-1,-1,-1
7,5,493.18,543.19,36.82,102.22,0.36,-1,-1,-1
7,12,1505.34,510.85,27.92,85.15,0.50,-1,-1,-1
7,9,132.81,577.67,57.03,163.25,0.50,-1,-1,-1
7,4,53.43,733.58,40.24,106.15,0.34,-1,-1,-1
8,2,1656.53,581.29,64.03,127.06,0.73,-1,-1,-1
8,3,1393.58,529.61,34.98,111.38,0.65,-1,-1,-1
8,8,1464.71,509.36,33.33,88.65,0.52,-1,-1,-1
8,6,1570.20,583.17,51.38,121.54,0.55,-1,-1,-1
8,5,491.57,550.77,36.33,101.56,0.34,-1,-1,-1
8,12,1509.48,518.12,28.09,88.47,0.47,-1,-1,-1
8,9,124.34,589.38,55.99,161.32,0.43,-1,-1,-1
9,2,1663.51,584.12,66.04,131.09,0.75,-1,-1,-1
9,3,1396.40,531.63,34.81,110.82,0.63,-1,-1,-1
9,8,1468.76,512.95,32.22,87.63,0.51,-1,-1,-1
9,6,1579.08,587.52,48.65,123.01,0.65,-1,-1,-1
9,5,490.41,550.99,34.05,98.68,0.33,-1,-1,-1
9,12,1512.84,520.37,28.63,90.84,0.43,-1,-1,-1
9,4,18.46,739.20,46.25,112.10,0.48,-1,-1,-1
10,2,1666.49,600.71,68.37,130.72,0.79,-1,-1,-1
10,3,1398.86,543.29,33.30,107.20,0.60,-1,-1,-1
10,8,1471.50,524.18,30.56,87.89,0.32,-1,-1,-1
10,6,1582.90,601.59,46.83,123.53,0.75,-1,-1,-1
