frame,track_id,direction,position,count_in,count_out
265,12,OUT,"[256.5610656738281, 537.6586303710938]",0,1
296,54,IN,"[568.4437866210938, 540.90478515625]",1,1
299,28,OUT,"[418.676025390625, 537.5460205078125]",1,2
303,10,IN,"[488.5902404785156, 541.254638671875]",2,2
321,35,IN,"[930.4833374023438, 540.3714599609375]",3,2
325,20,IN,"[875.9998779296875, 540.077880859375]",4,2
374,111,IN,"[1106.1375732421875, 541.156982421875]",5,2
382,121,OUT,"[1825.37841796875, 539.48828125]",5,3
741,169,IN,"[331.79248046875, 542.0770263671875]",6,3
900,223,OUT,"[1004.7533569335938, 539.7337036132812]",6,4
911,224,OUT,"[901.3555908203125, 539.9484252929688]",6,5
980,214,IN,"[425.12109375, 540.545654296875]",7,5
980,225,IN,"[345.8043212890625, 543.046875]",8,5
